"Vascular.disorders"	"Cardiac.disorder.signs.and.symptoms"	"Cardiac.arrhythmias"	"Heart.failures"	"Coronary.artery.disorders"	"Pericardial.disorders"	"Myocardial.disorders"	"id"
"1"	0	0	0	0	0	0	0	"BRD-A00827783"
"2"	0	0	0	0	0	0	0	"BRD-A00827783"
"3"	0	1	1	0	0	0	0	"BRD-A01320529"
"4"	0	1	1	0	0	0	0	"BRD-A01320529"
"5"	0	1	1	0	0	0	0	"BRD-A01320529"
"6"	0	1	1	0	0	0	0	"BRD-A01320529"
"9"	0	0	0	0	0	0	0	"BRD-A02006392"
"10"	0	0	0	0	0	0	0	"BRD-A02006392"
"11"	0	0	0	0	0	0	0	"BRD-A02006392"
"12"	0	0	0	0	0	0	0	"BRD-A02006392"
"13"	1	1	1	1	1	0	0	"BRD-A02759312"
"14"	1	1	1	1	1	0	0	"BRD-A02759312"
"15"	0	0	0	0	0	0	0	"BRD-A03216249"
"16"	0	0	0	0	0	0	0	"BRD-A03216249"
"17"	0	1	1	1	1	0	0	"BRD-A03623303"
"18"	0	1	1	1	1	0	0	"BRD-A03623303"
"19"	0	1	1	1	1	0	0	"BRD-A03623303"
"20"	0	1	1	1	1	0	0	"BRD-A03623303"
"21"	0	0	0	0	0	0	0	"BRD-A04553218"
"22"	0	0	0	0	0	0	0	"BRD-A04553218"
"23"	0	0	0	0	0	0	0	"BRD-A04553218"
"24"	0	0	0	0	0	0	0	"BRD-A04553218"
"25"	1	1	1	0	1	0	0	"BRD-A05186015"
"26"	1	1	1	0	1	0	0	"BRD-A05186015"
"27"	1	1	1	0	1	0	0	"BRD-A05186015"
"28"	1	1	1	0	1	0	0	"BRD-A05186015"
"36"	1	1	0	1	1	0	0	"BRD-A07893380"
"37"	1	1	1	0	1	0	0	"BRD-A09056319"
"38"	1	1	1	0	1	0	0	"BRD-A09056319"
"39"	1	1	1	0	1	0	0	"BRD-A09056319"
"40"	1	1	1	0	1	0	0	"BRD-A09056319"
"63"	1	1	1	1	0	1	0	"BRD-A11990600"
"64"	1	1	1	1	0	1	0	"BRD-A11990600"
"65"	1	1	1	1	0	1	0	"BRD-A11990600"
"66"	1	1	1	1	0	1	0	"BRD-A11990600"
"67"	0	1	0	1	0	0	0	"BRD-A13084692"
"68"	0	1	0	1	0	0	0	"BRD-A13084692"
"69"	1	1	1	0	1	0	0	"BRD-A13188892"
"70"	1	1	1	0	1	0	0	"BRD-A13188892"
"71"	1	1	1	0	1	0	0	"BRD-A13188892"
"72"	0	0	0	0	0	0	0	"BRD-A13946108"
"73"	0	0	0	0	0	0	0	"BRD-A13946108"
"74"	0	0	0	0	0	0	0	"BRD-A13946108"
"75"	0	0	0	0	0	0	0	"BRD-A14395271"
"76"	0	0	0	0	0	0	0	"BRD-A14395271"
"77"	0	0	0	0	0	0	0	"BRD-A14395271"
"78"	0	0	0	0	0	0	0	"BRD-A14395271"
"79"	0	0	0	0	0	0	0	"BRD-A16311756"
"80"	0	0	0	0	0	0	0	"BRD-A16311756"
"81"	0	0	0	0	0	0	0	"BRD-A16311756"
"82"	0	0	0	0	0	0	0	"BRD-A16311756"
"83"	1	1	1	0	1	0	0	"BRD-A16332958"
"84"	1	1	1	0	1	0	0	"BRD-A16332958"
"85"	0	0	0	0	0	0	0	"BRD-A17462676"
"86"	0	0	0	0	0	0	0	"BRD-A17462676"
"87"	0	1	0	0	0	0	0	"BRD-A17655518"
"88"	0	1	0	0	0	0	0	"BRD-A17655518"
"89"	0	0	0	0	0	0	0	"BRD-A19195498"
"90"	0	0	0	0	0	0	0	"BRD-A19195498"
"91"	0	0	0	0	0	0	0	"BRD-A19195498"
"92"	0	0	1	0	0	0	0	"BRD-A19661776"
"93"	0	0	1	0	0	0	0	"BRD-A19661776"
"94"	0	0	1	0	0	0	0	"BRD-A19661776"
"95"	0	0	1	0	0	0	0	"BRD-A19661776"
"100"	0	1	1	1	1	0	1	"BRD-A20239487"
"101"	0	1	1	1	1	0	1	"BRD-A20239487"
"102"	0	1	1	1	1	0	1	"BRD-A20239487"
"103"	0	1	0	1	1	0	0	"BRD-A22032524"
"104"	0	1	0	1	1	0	0	"BRD-A22032524"
"117"	0	1	0	0	1	0	0	"BRD-A22380646"
"118"	0	1	0	0	1	0	0	"BRD-A22380646"
"119"	0	1	0	0	1	0	0	"BRD-A22380646"
"120"	0	1	0	0	1	0	0	"BRD-A22380646"
"121"	0	0	0	0	0	0	0	"BRD-A23072235"
"122"	0	0	0	0	0	0	0	"BRD-A23072235"
"123"	1	1	1	1	0	0	0	"BRD-A24228527"
"124"	1	1	1	1	0	0	0	"BRD-A24228527"
"125"	1	1	1	1	0	0	0	"BRD-A24228527"
"126"	0	0	0	0	0	0	0	"BRD-A25234499"
"127"	0	0	0	0	0	0	0	"BRD-A25234499"
"128"	0	0	0	0	0	0	0	"BRD-A25234499"
"129"	0	0	0	0	0	0	0	"BRD-A25234499"
"130"	1	1	1	1	1	0	0	"BRD-A26334849"
"131"	1	1	1	1	1	0	0	"BRD-A26334849"
"132"	0	1	1	1	0	0	0	"BRD-A26384407"
"133"	0	1	1	1	0	0	0	"BRD-A26384407"
"134"	0	1	1	1	0	0	0	"BRD-A26384407"
"135"	0	1	1	1	0	0	0	"BRD-A26384407"
"136"	0	0	0	0	0	0	0	"BRD-A26711594"
"137"	0	0	0	0	0	0	0	"BRD-A26711594"
"138"	0	0	0	0	0	0	0	"BRD-A28856712"
"139"	0	0	0	0	0	0	0	"BRD-A28856712"
"143"	0	0	0	0	0	0	0	"BRD-A29426959"
"144"	0	0	0	0	0	0	0	"BRD-A29426959"
"145"	0	0	0	0	0	0	0	"BRD-A29734509"
"146"	0	0	0	0	0	0	0	"BRD-A29734509"
"147"	0	0	0	0	0	0	0	"BRD-A29734509"
"148"	0	0	0	0	0	0	0	"BRD-A29734509"
"149"	0	0	0	0	0	0	0	"BRD-A30815329"
"150"	0	0	0	0	0	0	0	"BRD-A30815329"
"151"	1	1	1	1	1	0	0	"BRD-A31159102"
"152"	1	1	1	1	1	0	0	"BRD-A31159102"
"153"	0	0	0	0	0	0	0	"BRD-A31521121"
"154"	0	0	0	0	0	0	0	"BRD-A31521121"
"155"	0	0	0	0	0	0	0	"BRD-A31521121"
"156"	0	0	0	0	0	0	0	"BRD-A31521121"
"157"	0	0	0	0	0	0	0	"BRD-A31800922"
"158"	0	0	0	0	0	0	0	"BRD-A31800922"
"159"	0	0	0	0	0	0	0	"BRD-A31800922"
"160"	0	1	1	1	1	0	0	"BRD-A33168282"
"161"	0	1	1	1	1	0	0	"BRD-A33168282"
"166"	0	1	0	0	0	0	0	"BRD-A34299591"
"167"	0	1	0	0	0	0	0	"BRD-A34299591"
"168"	0	0	0	0	0	0	0	"BRD-A34309505"
"169"	0	0	0	0	0	0	0	"BRD-A36217750"
"170"	0	0	0	0	0	0	0	"BRD-A36217750"
"173"	1	1	1	0	1	0	0	"BRD-A40639672"
"174"	1	1	1	0	1	0	0	"BRD-A40639672"
"175"	0	0	0	0	0	0	0	"BRD-A41304429"
"176"	0	0	0	0	0	0	0	"BRD-A42167015"
"177"	0	0	0	0	0	0	0	"BRD-A42167015"
"178"	0	1	1	0	0	0	0	"BRD-A42571354"
"179"	0	1	1	0	0	0	0	"BRD-A42571354"
"180"	0	1	1	0	0	0	0	"BRD-A42571354"
"181"	0	1	1	0	0	0	0	"BRD-A42571354"
"186"	0	0	0	0	0	0	0	"BRD-A44008656"
"187"	0	0	0	0	0	0	0	"BRD-A44008656"
"188"	0	0	0	0	0	0	0	"BRD-A44008656"
"189"	0	0	0	0	0	0	0	"BRD-A44008656"
"190"	0	0	0	0	0	0	0	"BRD-A44448661"
"191"	0	0	0	0	0	0	0	"BRD-A44448661"
"192"	0	0	0	0	0	0	0	"BRD-A44448661"
"193"	0	0	0	0	0	0	0	"BRD-A44448661"
"194"	0	0	0	0	0	0	0	"BRD-A45889380"
"195"	0	0	0	0	0	0	0	"BRD-A45889380"
"196"	0	0	0	0	0	0	0	"BRD-A45889380"
"197"	0	0	0	0	0	0	0	"BRD-A45889380"
"198"	0	0	0	0	0	0	0	"BRD-A45889380"
"199"	0	0	0	0	0	0	0	"BRD-A45889380"
"200"	0	0	0	0	0	0	0	"BRD-A45889380"
"201"	0	0	0	0	0	0	0	"BRD-A45889380"
"202"	0	0	0	0	0	0	0	"BRD-A45889380"
"203"	0	0	0	0	0	0	0	"BRD-A45889380"
"204"	0	0	0	0	0	0	0	"BRD-A45889380"
"205"	0	0	0	0	0	0	0	"BRD-A45889380"
"206"	0	0	0	0	0	0	0	"BRD-A45889380"
"207"	0	0	0	0	0	0	0	"BRD-A45889380"
"208"	0	0	0	0	0	0	0	"BRD-A45889380"
"209"	0	0	0	0	0	0	0	"BRD-A45889380"
"210"	0	0	0	0	0	0	0	"BRD-A45889380"
"211"	0	0	0	0	0	0	0	"BRD-A45889380"
"212"	0	0	0	0	0	0	0	"BRD-A45889380"
"213"	0	0	0	0	0	0	0	"BRD-A45889380"
"214"	0	0	0	0	0	0	0	"BRD-A45889380"
"215"	0	0	0	0	0	0	0	"BRD-A45889380"
"216"	0	0	0	0	0	0	0	"BRD-A45889380"
"217"	0	0	0	0	0	0	0	"BRD-A45889380"
"218"	0	0	0	0	0	0	0	"BRD-A45889380"
"219"	0	0	0	0	0	0	0	"BRD-A45889380"
"220"	0	0	0	0	0	0	0	"BRD-A45889380"
"221"	0	0	0	0	0	0	0	"BRD-A45889380"
"222"	0	0	0	0	0	0	0	"BRD-A45889380"
"223"	0	0	0	0	0	0	0	"BRD-A45889380"
"224"	0	0	0	0	0	0	0	"BRD-A45889380"
"225"	0	0	0	0	0	0	0	"BRD-A45889380"
"226"	0	0	0	0	0	0	0	"BRD-A45889380"
"227"	0	0	0	0	0	0	0	"BRD-A45889380"
"228"	0	0	0	0	0	0	0	"BRD-A45889380"
"229"	0	0	0	0	0	0	0	"BRD-A45889380"
"234"	0	0	0	0	0	0	0	"BRD-A47494775"
"235"	0	0	0	0	0	0	0	"BRD-A47494775"
"236"	0	0	0	0	0	0	0	"BRD-A47494775"
"237"	0	0	0	0	0	0	0	"BRD-A47494775"
"242"	0	1	0	1	1	0	0	"BRD-A48430263"
"243"	0	1	0	1	1	0	0	"BRD-A48430263"
"244"	0	1	0	0	0	0	0	"BRD-A49172652"
"245"	0	1	0	0	0	0	0	"BRD-A49172652"
"246"	0	1	1	0	1	0	0	"BRD-A50157456"
"247"	0	1	1	0	1	0	0	"BRD-A50157456"
"248"	0	1	1	0	1	0	0	"BRD-A50157456"
"249"	0	0	0	0	0	0	0	"BRD-A50311610"
"250"	0	0	0	0	0	0	0	"BRD-A50311610"
"251"	0	0	0	0	0	0	0	"BRD-A50684349"
"252"	0	0	0	0	0	0	0	"BRD-A50684349"
"253"	0	0	0	0	0	0	0	"BRD-A50684349"
"254"	0	0	0	0	0	0	0	"BRD-A50684349"
"255"	1	1	1	1	1	0	0	"BRD-A51714012"
"256"	1	1	1	1	1	0	0	"BRD-A51714012"
"257"	1	1	1	1	1	0	0	"BRD-A51714012"
"258"	0	0	0	0	0	0	0	"BRD-A51820102"
"259"	0	0	0	0	0	0	0	"BRD-A51820102"
"260"	0	0	0	0	0	0	0	"BRD-A53077924"
"261"	0	0	0	0	0	0	0	"BRD-A53077924"
"262"	0	0	0	0	0	0	0	"BRD-A53576514"
"263"	0	0	0	0	0	0	0	"BRD-A53576514"
"264"	0	0	0	0	0	0	0	"BRD-A53576514"
"265"	0	0	0	0	0	0	0	"BRD-A53576514"
"269"	0	1	1	0	1	0	0	"BRD-A55962179"
"270"	0	1	1	0	1	0	0	"BRD-A55962179"
"271"	0	1	1	0	1	0	0	"BRD-A55962179"
"272"	0	1	1	0	1	0	0	"BRD-A55962179"
"273"	0	1	1	0	0	0	0	"BRD-A58048407"
"274"	0	1	1	0	0	0	0	"BRD-A58048407"
"277"	1	1	1	0	0	0	0	"BRD-A60197193"
"278"	1	1	1	0	0	0	0	"BRD-A60197193"
